route_name,start_point,end_point,points_in_between
Пост-Урик,КП,Урик Экономия,"0 км,ТБО,СНТ Раздолье,50 лет победы,Сударь,СНТ Весёлое,Столбово,Урик АЗС,Урик Экономия"
Урик-Старая Грановщина,Урик Хлеб-соль,Грановщина Апельсин,"Урик школа,Урик Грановщина кладбище"
